ATP Brisbane,01/01/2017,1er tour,Milos Raonic,#11,,,,,,,,,,,,,,
ATP Brisbane,03/01/2017,1er tour,Sam Querrey,#16,Diego Schwartzman,#28,2,4,,,,,6,6,,,,
ATP Brisbane,03/01/2017,1er tour,Alex De Minaur,#187,Mischa Zverev,#27,3,3,,,,,6,6,,,,
ATP Brisbane,03/01/2017,1er tour,Alexandr Dolgopolov,#52,Rafael Nadal,#1,3,3,,,,,6,6,,,,
ATP Brisbane,01/01/2017,1er tour,Dominic Thiem,#7,,,,,,,,,,,,,,
ATP Brisbane,03/01/2017,1er tour,Sam Groth,#167,Pierre-Hugues Herbert,#67,6,5,7,,,,3,7,5,,,
ATP Brisbane,02/01/2017,1er tour,Nicolas Mahut,#107,St�phane Robert,#276,4,6,6,,,,6,3,4,,,
ATP Brisbane,02/01/2017,1er tour,Steve Johnson,#44,Grigor Dimitrov,#9,2,3,,,,,6,6,,,,
ATP Brisbane,02/01/2017,1er tour,David Ferrer,#26,Bernard Tomic,#146,6,7,,,,,3,5,,,,
ATP Brisbane,01/01/2017,1er tour,Elias Ymer,#200,Jordan Thompson,#69,3,2,,,,,6,6,,,,
ATP Brisbane,03/01/2017,1er tour,Jared Donaldson,#58,Gilles Muller,#23,6,6,,,,,4,4,,,,
ATP Brisbane,01/01/2017,1er tour,Kei Nishikori,#14,,,,,,,,,,,,,,
ATP Brisbane,03/01/2017,1er tour,Lucas Pouille,#22,Gilles Simon,#43,7,7,,,,,6,6,,,,
ATP Brisbane,02/01/2017,1er tour,Kyle Edmund,#45,Ernesto Escobedo,#89,7,7,,,,,6,6,,,,
ATP Brisbane,03/01/2017,1er tour,Viktor Troicki,#47,Yoshihito Nishioka,#124,6,7,,,,,4,5,,,,
ATP Brisbane,01/01/2017,1er tour,Stan Wawrinka,#8,,,,,,,,,,,,,,
ATP Brisbane,05/01/2017,2e tour,Milos Raonic,#11,Diego Schwartzman,#28,6,6,,,,,3,2,,,,
ATP Brisbane,05/01/2017,2e tour,Mischa Zverev,#27,Rafael Nadal,#1,1,1,,,,,6,6,,,,
ATP Brisbane,05/01/2017,2e tour,Dominic Thiem,#7,Sam Groth,#167,7,6,,,,,6,3,,,,
ATP Brisbane,05/01/2017,2e tour,Nicolas Mahut,#107,Grigor Dimitrov,#9,2,0,,,,,6,6,,,,
ATP Brisbane,04/01/2017,2e tour,David Ferrer,#26,Jordan Thompson,#69,6,5,5,,,,0,7,7,,,
ATP Brisbane,04/01/2017,2e tour,Jared Donaldson,#58,Kei Nishikori,#14,6,4,3,,,,0,6,6,,,
ATP Brisbane,04/01/2017,2e tour,Lucas Pouille,#22,Kyle Edmund,#45,3,3,,,,A,6,3,,,,
ATP Brisbane,04/01/2017,2e tour,Viktor Troicki,#47,Stan Wawrinka,#8,0,4,,,,,7,6,,,,
ATP Brisbane,06/01/2017,Quart de finale,Milos Raonic,#11,Rafael Nadal,#1,4,6,6,,,,6,3,4,,,
ATP Brisbane,06/01/2017,Quart de finale,Dominic Thiem,#7,Grigor Dimitrov,#9,3,6,3,,,,6,4,6,,,
ATP Brisbane,06/01/2017,Quart de finale,Jordan Thompson,#69,Kei Nishikori,#14,1,1,,,,,6,6,,,,
ATP Brisbane,06/01/2017,Quart de finale,Kyle Edmund,#45,Stan Wawrinka,#8,7,4,4,,,,6,6,6,,,
ATP Brisbane,07/01/2017,Demi-finale,Milos Raonic,#11,Grigor Dimitrov,#9,6,2,,,,,7,6,,,,
ATP Brisbane,07/01/2017,Demi-finale,Kei Nishikori,#14,Stan Wawrinka,#8,7,6,,,,,6,3,,,,
ATP Brisbane,08/01/2017,Finale,Grigor Dimitrov,#9,Kei Nishikori,#14,6,2,,,,,6,2,,,,
ATP Chennai,02/01/2017,1er tour,Marin Cilic,#5,,,,,,,,,,,,,,
ATP Chennai,02/01/2017,1er tour,Jozef Koval�k,#168,Gast�o Elias,#147,6,0,6,,,,7,4,2,,,
ATP Chennai,02/01/2017,1er tour,Thiago Monteiro,#114,Daniil Medvedev,#62,3,3,,,,,6,6,,,,
ATP Chennai,03/01/2017,1er tour,Radu Albot,#108,Yen-Hsun Lu,#61,2,1,,,,,6,6,,,,
ATP Chennai,02/01/2017,1er tour,Albert Ramos,#25,,,,,,,,,,,,,,
ATP Chennai,02/01/2017,1er tour,Steve Darcis,#77,Nikola Mektic,#10000,6,6,,,,,2,3,,,,
ATP Chennai,02/01/2017,1er tour,Damir D�umhur,#55,Dudi Sela,#75,2,2,,,,,6,6,,,,
ATP Chennai,02/01/2017,1er tour,Hyeon Chung,#46,Borna Coric,#56,6,7,,,,,3,5,,,,
ATP Chennai,03/01/2017,1er tour,Beno�t Paire,#41,Konstantin Kravchuk,#166,6,6,,,,,3,4,,,,
ATP Chennai,03/01/2017,1er tour,Ramkumar Ramanathan,#153,Yuki Bhambri,#156,1,1,,,,,6,6,,,,
ATP Chennai,03/01/2017,1er tour,Alja� Bedene,#49,Guillermo Garc�a-L�pez,#102,6,6,,,,,3,3,,,,
ATP Chennai,02/01/2017,1er tour,Martin Kli�an,#143,,,,,,,,,,,,,,
ATP Chennai,03/01/2017,1er tour,Mikhail Youzhny,#112,Saketh Myneni,#10000,6,6,,,,,4,3,,,,
ATP Chennai,03/01/2017,1er tour,Renzo Olivo,#115,Casper Ruud,#139,7,6,,,,,6,2,,,,
ATP Chennai,03/01/2017,1er tour,Rog�rio Dutra Silva,#73,Du�an Lajovic,#80,7,4,7,,,,6,6,6,,,
ATP Chennai,02/01/2017,1er tour,Roberto Bautista,#13,,,,,,,,,,,,,,
ATP Chennai,04/01/2017,2e tour,Marin Cilic,#5,Jozef Koval�k,#168,6,7,5,,,,7,5,7,,,
ATP Chennai,04/01/2017,2e tour,Daniil Medvedev,#62,Yen-Hsun Lu,#61,6,6,,,,,4,3,,,,
ATP Chennai,04/01/2017,2e tour,Albert Ramos,#25,Steve Darcis,#77,6,6,,,,,2,0,,,,
ATP Chennai,04/01/2017,2e tour,Dudi Sela,#75,Hyeon Chung,#46,6,6,,,,,2,2,,,,
ATP Chennai,05/01/2017,2e tour,Beno�t Paire,#41,Yuki Bhambri,#156,6,6,,,,,3,4,,,,
ATP Chennai,05/01/2017,2e tour,Alja� Bedene,#49,Martin Kli�an,#143,7,6,7,,,,6,7,6,,,
ATP Chennai,05/01/2017,2e tour,Mikhail Youzhny,#112,Renzo Olivo,#115,6,7,,,,,1,5,,,,
ATP Chennai,05/01/2017,2e tour,Rog�rio Dutra Silva,#73,Roberto Bautista,#13,3,2,,,,,6,6,,,,
ATP Chennai,06/01/2017,Quart de finale,Jozef Koval�k,#168,Daniil Medvedev,#62,1,4,,,,,6,6,,,,
ATP Chennai,06/01/2017,Quart de finale,Albert Ramos,#25,Dudi Sela,#75,5,4,,,,,7,6,,,,
ATP Chennai,06/01/2017,Quart de finale,Beno�t Paire,#41,Alja� Bedene,#49,6,6,,,,,3,0,,,,
ATP Chennai,06/01/2017,Quart de finale,Mikhail Youzhny,#112,Roberto Bautista,#13,6,4,4,,,,2,6,6,,,
ATP Chennai,07/01/2017,Demi-finale,Daniil Medvedev,#62,Dudi Sela,#75,4,7,6,,,,6,6,2,,,
ATP Chennai,07/01/2017,Demi-finale,Beno�t Paire,#41,Roberto Bautista,#13,3,3,,,,,6,6,,,,
ATP Chennai,08/01/2017,Finale,Daniil Medvedev,#62,Roberto Bautista,#13,3,4,,,,,6,6,,,,
ATP Doha,03/01/2017,1er tour,Andy Murray,#3,J�r�my Chardy,#83,6,7,,,,,0,6,,,,
ATP Doha,03/01/2017,1er tour,Gerald Melzer,#133,Paul-Henri Mathieu,#252,6,6,6,,,,7,3,2,,,
ATP Doha,02/01/2017,1er tour,Paolo Lorenzi,#38,Nicol�s Almagro,#131,6,6,3,,,,7,4,6,,,
ATP Doha,03/01/2017,1er tour,Malek Jaziri,#74,Philipp Kohlschreiber,#34,2,6,,,,,6,7,,,,
ATP Doha,03/01/2017,1er tour,Tom� Berdych,#19,Alessandro Giannessi,#132,7,6,,,,,6,2,,,,
ATP Doha,02/01/2017,1er tour,Anil Y�ksel,#10000,Jir� Vesel�,#59,2,3,,,,,6,6,,,,
ATP Doha,02/01/2017,1er tour,Facundo Bagnis,#110,Dustin Brown,#123,1,7,4,,,,6,6,6,,,
ATP Doha,03/01/2017,1er tour,Andrey Kuznetsov,#87,Jo-Wilfried Tsonga,#18,1,6,2,,,,6,4,6,,,
ATP Doha,03/01/2017,1er tour,Ivo Karlovic,#48,Illya Marchenko,#287,7,7,,,,,6,6,,,,
ATP Doha,03/01/2017,1er tour,Mubarak Shannan Zayid,#10000,Karen Khachanov,#32,1,3,,,,,6,6,,,,
ATP Doha,02/01/2017,1er tour,Vasek Pospisil,#81,Fernando Verdasco,#40,5,0,,,,,7,6,,,,
ATP Doha,02/01/2017,1er tour,Robin Haase,#39,David Goffin,#12,6,2,,,,,7,6,,,,
ATP Doha,02/01/2017,1er tour,Marcos Baghdatis,#122,Radek �tep�nek,#248,4,3,,,,A,6,5,,,,
ATP Doha,02/01/2017,1er tour,Arthur De Greef,#149,Mohamed Safwat,#213,6,7,6,,,,7,5,4,,,
ATP Doha,02/01/2017,1er tour,Horacio Zeballos,#65,Florian Mayer,#63,6,6,7,,,,7,4,6,,,
ATP Doha,02/01/2017,1er tour,Jan-Lennard Struff,#54,Novak Djokovic,#6,6,3,,,,,7,6,,,,
ATP Doha,04/01/2017,2e tour,Andy Murray,#3,Gerald Melzer,#133,7,7,,,,,6,5,,,,
ATP Doha,04/01/2017,2e tour,Nicol�s Almagro,#131,Philipp Kohlschreiber,#34,7,7,,,,,6,6,,,,
ATP Doha,04/01/2017,2e tour,Tom� Berdych,#19,Jir� Vesel�,#59,7,1,6,,,,6,6,1,,,
ATP Doha,04/01/2017,2e tour,Dustin Brown,#123,Jo-Wilfried Tsonga,#18,1,3,,,,,6,6,,,,
ATP Doha,04/01/2017,2e tour,Ivo Karlovic,#48,Karen Khachanov,#32,7,7,,,,,6,6,,,,
ATP Doha,04/01/2017,2e tour,Fernando Verdasco,#40,David Goffin,#12,6,7,,,,,1,6,,,,
ATP Doha,04/01/2017,2e tour,Radek �tep�nek,#248,Arthur De Greef,#149,6,6,,,,,3,2,,,,
ATP Doha,04/01/2017,2e tour,Horacio Zeballos,#65,Novak Djokovic,#6,3,4,,,,,6,6,,,,
ATP Doha,05/01/2017,Quart de finale,Andy Murray,#3,Nicol�s Almagro,#131,7,7,,,,,6,5,,,,
ATP Doha,05/01/2017,Quart de finale,Tom� Berdych,#19,Jo-Wilfried Tsonga,#18,7,6,,,,,5,3,,,,
ATP Doha,05/01/2017,Quart de finale,Ivo Karlovic,#48,Fernando Verdasco,#40,2,5,,,,,6,7,,,,
ATP Doha,05/01/2017,Quart de finale,Radek �tep�nek,#248,Novak Djokovic,#6,3,3,,,,,6,6,,,,
ATP Doha,06/01/2017,Demi-finale,Andy Murray,#3,Tom� Berdych,#19,6,6,,,,,3,4,,,,
ATP Doha,06/01/2017,Demi-finale,Fernando Verdasco,#40,Novak Djokovic,#6,6,6,3,,,,4,7,6,,,
ATP Doha,07/01/2017,Finale,Andy Murray,#3,Novak Djokovic,#6,3,7,4,,,,6,5,6,,,
ATP Sydney,08/01/2017,1er tour,Dominic Thiem,#7,,,,,,,,,,,,,,
ATP Sydney,09/01/2017,1er tour,Gast�o Elias,#147,Christopher O'Connell,#10000,6,6,6,,,,7,4,1,,,
ATP Sydney,09/01/2017,1er tour,Daniel Evans,#106,Thiago Monteiro,#114,6,4,6,,,,3,6,3,,,
ATP Sydney,10/01/2017,1er tour,Santiago Giraldo,#130,Marcel Granollers,#135,7,5,3,,,,6,7,6,,,
ATP Sydney,08/01/2017,1er tour,Pablo Carre�o,#10,,,,,,,,,,,,,,
ATP Sydney,10/01/2017,1er tour,Mischa Zverev,#27,Nicol�s Almagro,#131,6,6,,,,,4,2,,,,
ATP Sydney,10/01/2017,1er tour,Alex De Minaur,#187,Beno�t Paire,#41,6,3,7,,,,3,6,6,,,
ATP Sydney,10/01/2017,1er tour,Andrey Kuznetsov,#87,Martin Kli�an,#143,2,6,3,,,,6,1,0,,,A
ATP Sydney,09/01/2017,1er tour,Philipp Kohlschreiber,#34,Fabio Fognini,#29,6,6,,,,,4,4,,,,
ATP Sydney,10/01/2017,1er tour,Nikoloz Basilashvili,#64,Jordan Thompson,#69,5,2,,,,,7,6,,,,
ATP Sydney,09/01/2017,1er tour,Florian Mayer,#63,Paolo Lorenzi,#38,6,6,6,,,,7,4,7,,,
ATP Sydney,08/01/2017,1er tour,Viktor Troicki,#47,,,,,,,,,,,,,,
ATP Sydney,10/01/2017,1er tour,Gilles Muller,#23,Alexandr Dolgopolov,#52,3,6,7,,,,6,3,5,,,
ATP Sydney,09/01/2017,1er tour,Matthew Barton,#10000,Kyle Edmund,#45,7,7,,,,,6,6,,,,
ATP Sydney,08/01/2017,1er tour,Thomaz Bellucci,#76,Nicolas Mahut,#107,2,6,,,,,6,7,,,,
ATP Sydney,08/01/2017,1er tour,Pablo Cuevas,#33,,,,,,,,,,,,,,
ATP Sydney,11/01/2017,2e tour,Dominic Thiem,#7,Gast�o Elias,#147,6,6,7,,,,7,3,5,,,
ATP Sydney,11/01/2017,2e tour,Daniel Evans,#106,Marcel Granollers,#135,1,6,6,,,,6,3,3,,,
ATP Sydney,11/01/2017,2e tour,Pablo Carre�o,#10,Mischa Zverev,#27,3,7,6,,,,6,6,3,,,
ATP Sydney,11/01/2017,2e tour,Alex De Minaur,#187,Andrey Kuznetsov,#87,2,0,,,,A,6,0,,,,
ATP Sydney,11/01/2017,2e tour,Philipp Kohlschreiber,#34,Jordan Thompson,#69,7,6,,,,,5,4,,,,
ATP Sydney,11/01/2017,2e tour,Paolo Lorenzi,#38,Viktor Troicki,#47,3,4,,,,,6,6,,,,
ATP Sydney,11/01/2017,2e tour,Gilles Muller,#23,Matthew Barton,#10000,6,3,6,,,,1,6,4,,,
ATP Sydney,11/01/2017,2e tour,Nicolas Mahut,#107,Pablo Cuevas,#33,4,6,2,,,,6,2,6,,,
ATP Sydney,12/01/2017,Quart de finale,Dominic Thiem,#7,Daniel Evans,#106,6,4,1,,,,3,6,6,,,
ATP Sydney,12/01/2017,Quart de finale,Pablo Carre�o,#10,Andrey Kuznetsov,#87,6,4,1,,,,2,6,6,,,
ATP Sydney,12/01/2017,Quart de finale,Philipp Kohlschreiber,#34,Viktor Troicki,#47,,,,,,A,,,,,,
ATP Sydney,12/01/2017,Quart de finale,Gilles Muller,#23,Pablo Cuevas,#33,7,6,,,,,6,4,,,,
ATP Sydney,13/01/2017,Demi-finale,Daniel Evans,#106,Andrey Kuznetsov,#87,6,3,6,,,,2,6,3,,,
ATP Sydney,13/01/2017,Demi-finale,Viktor Troicki,#47,Gilles Muller,#23,3,6,,,,,6,7,,,,
ATP Sydney,14/01/2017,Finale,Daniel Evans,#106,Gilles Muller,#23,6,2,,,,,7,6,,,,
ATP Auckland,08/01/2017,1er tour,Jose Statham,#10000,,,,,,,,,,,,,,
ATP Auckland,09/01/2017,1er tour,Horacio Zeballos,#65,Jir� Vesel�,#59,4,3,,,,,6,6,,,,
ATP Auckland,09/01/2017,1er tour,Michael Mmoh,#142,Dustin Brown,#123,6,6,4,,,,7,3,6,,,
ATP Auckland,10/01/2017,1er tour,Adrian Mannarino,#31,Marcos Baghdatis,#122,4,4,,,,,6,6,,,,
ATP Auckland,08/01/2017,1er tour,David Ferrer,#26,,,,,,,,,,,,,,
ATP Auckland,09/01/2017,1er tour,Finn Tearney,#10000,Robin Haase,#39,4,5,,,,,6,7,,,,
ATP Auckland,10/01/2017,1er tour,Facundo Bagnis,#110,Brydan Klein,#235,1,7,6,,,,6,6,7,,,
ATP Auckland,10/01/2017,1er tour,Jo�o Sousa,#57,Albert Ramos,#25,6,7,,,,,1,5,,,,
ATP Auckland,09/01/2017,1er tour,Feliciano L�pez,#35,Michael Venus,#10000,3,6,6,,,,6,4,3,,,
ATP Auckland,10/01/2017,1er tour,Artem Sitak,#10000,J�r�my Chardy,#83,4,2,,,,,6,6,,,,
ATP Auckland,10/01/2017,1er tour,Ryan Harrison,#50,Guillermo Garc�a-L�pez,#102,6,6,,,,,1,2,,,,
ATP Auckland,08/01/2017,1er tour,Jack Sock,#21,,,,,,,,,,,,,,
ATP Auckland,09/01/2017,1er tour,Steve Johnson,#44,St�phane Robert,#276,6,6,,,,,4,3,,,,
ATP Auckland,10/01/2017,1er tour,Yen-Hsun Lu,#61,Karen Khachanov,#32,4,7,7,,,,6,6,6,,,
ATP Auckland,09/01/2017,1er tour,Malek Jaziri,#74,Diego Schwartzman,#28,7,6,,,,,6,3,,,,
ATP Auckland,08/01/2017,1er tour,John Isner,#17,,,,,,,,,,,,,,
ATP Auckland,11/01/2017,2e tour,Jose Statham,#10000,Jir� Vesel�,#59,7,5,3,,,,6,7,6,,,
ATP Auckland,11/01/2017,2e tour,Dustin Brown,#123,Marcos Baghdatis,#122,6,6,4,,,,4,7,6,,,
ATP Auckland,11/01/2017,2e tour,David Ferrer,#26,Robin Haase,#39,6,4,6,,,,2,6,7,,,
ATP Auckland,11/01/2017,2e tour,Brydan Klein,#235,Jo�o Sousa,#57,3,4,,,,,6,6,,,,
ATP Auckland,11/01/2017,2e tour,Feliciano L�pez,#35,J�r�my Chardy,#83,0,,,,,A,0,,,,,
ATP Auckland,11/01/2017,2e tour,Ryan Harrison,#50,Jack Sock,#21,6,6,1,,,,7,4,6,,,
ATP Auckland,11/01/2017,2e tour,Steve Johnson,#44,Yen-Hsun Lu,#61,6,7,,,,,4,6,,,,
ATP Auckland,11/01/2017,2e tour,Malek Jaziri,#74,John Isner,#17,3,6,6,,,,6,3,7,,,
ATP Auckland,12/01/2017,Quart de finale,Jir� Vesel�,#59,Marcos Baghdatis,#122,2,4,,,,,6,6,,,,
ATP Auckland,12/01/2017,Quart de finale,Robin Haase,#39,Jo�o Sousa,#57,3,2,,,,,6,6,,,,
ATP Auckland,12/01/2017,Quart de finale,J�r�my Chardy,#83,Jack Sock,#21,7,4,3,,,,5,6,6,,,
ATP Auckland,12/01/2017,Quart de finale,Steve Johnson,#44,John Isner,#17,6,5,7,,,,3,7,6,,,
ATP Auckland,13/01/2017,Demi-finale,Marcos Baghdatis,#122,Jo�o Sousa,#57,1,5,,,,,6,7,,,,
ATP Auckland,13/01/2017,Demi-finale,Jack Sock,#21,Steve Johnson,#44,6,6,,,,,4,3,,,,
ATP Auckland,14/01/2017,Finale,Jo�o Sousa,#57,Jack Sock,#21,3,7,3,,,,6,5,6,,,
Open d�Australie messieurs,16/01/2017,1er tour,Andy Murray,#3,Illya Marchenko,#287,7,7,6,,,,5,6,2,,,
Open d�Australie messieurs,16/01/2017,1er tour,Andrey Rublev,#37,Yen-Hsun Lu,#61,4,6,7,6,,,6,3,6,3,,
Open d�Australie messieurs,16/01/2017,1er tour,Alex De Minaur,#187,Gerald Melzer,#133,5,6,2,7,6,,7,3,6,6,1,
Open d�Australie messieurs,16/01/2017,1er tour,Quentin Halys,#126,Sam Querrey,#16,7,6,3,4,,,6,7,6,6,,
Open d�Australie messieurs,16/01/2017,1er tour,John Isner,#17,Konstantin Kravchuk,#166,6,6,6,6,,,3,4,7,1,,
Open d�Australie messieurs,16/01/2017,1er tour,Guillermo Garc�a-L�pez,#102,Mischa Zverev,#27,3,6,4,,,,6,7,6,,,
Open d�Australie messieurs,16/01/2017,1er tour,Malek Jaziri,#74,Go Soeda,#140,6,6,6,,,,3,4,3,,,
Open d�Australie messieurs,16/01/2017,1er tour,Alexander Bublik,#96,Lucas Pouille,#22,6,3,6,6,,,0,6,3,4,,
Open d�Australie messieurs,16/01/2017,1er tour,Tom� Berdych,#19,Luca Vanni,#158,6,0,,,,,1,0,,,,A
Open d�Australie messieurs,16/01/2017,1er tour,Ryan Harrison,#50,Nicolas Mahut,#107,6,6,6,,,,3,4,2,,,
Open d�Australie messieurs,16/01/2017,1er tour,Bjorn Fratangelo,#118,Noah Rubin,#195,7,5,6,2,2,,6,7,3,6,6,
Open d�Australie messieurs,16/01/2017,1er tour,J�rgen Melzer,#154,Roger Federer,#2,5,6,2,2,,,7,3,6,6,,
Open d�Australie messieurs,16/01/2017,1er tour,Albert Ramos,#25,Luk� Lacko,#117,6,5,6,4,3,,4,7,1,6,6,
Open d�Australie messieurs,16/01/2017,1er tour,Marcel Granollers,#135,Dudi Sela,#75,7,3,2,0,,,5,6,6,6,,
Open d�Australie messieurs,16/01/2017,1er tour,Nicol�s Almagro,#131,J�r�my Chardy,#83,0,,,,,A,4,,,,,
Open d�Australie messieurs,16/01/2017,1er tour,Andrey Kuznetsov,#87,Kei Nishikori,#14,7,1,4,7,2,,5,6,6,6,6,
Open d�Australie messieurs,16/01/2017,1er tour,Stan Wawrinka,#8,Martin Kli�an,#143,4,6,7,4,6,,6,4,5,6,4,
Open d�Australie messieurs,16/01/2017,1er tour,Federico Delbonis,#66,Steve Johnson,#44,3,4,4,,,,6,6,6,,,
Open d�Australie messieurs,16/01/2017,1er tour,James Duckworth,#171,Paolo Lorenzi,#38,4,6,7,4,,,6,7,6,6,,
Open d�Australie messieurs,16/01/2017,1er tour,Damir D�umhur,#55,Viktor Troicki,#47,4,4,6,6,3,,6,6,2,2,6,
Open d�Australie messieurs,16/01/2017,1er tour,Pablo Cuevas,#33,Diego Schwartzman,#28,3,3,0,,,,6,6,6,,,
Open d�Australie messieurs,16/01/2017,1er tour,Steve Darcis,#77,Sam Groth,#167,3,6,6,6,,,6,3,2,2,,
Open d�Australie messieurs,16/01/2017,1er tour,Paul-Henri Mathieu,#252,Andreas Seppi,#85,4,6,7,5,,,6,7,6,7,,
Open d�Australie messieurs,16/01/2017,1er tour,Gast�o Elias,#147,Nick Kyrgios,#20,1,2,2,,,,6,6,6,,,
Open d�Australie messieurs,16/01/2017,1er tour,Jo-Wilfried Tsonga,#18,Thiago Monteiro,#114,6,6,6,6,,,1,3,7,2,,
Open d�Australie messieurs,16/01/2017,1er tour,Du�an Lajovic,#80,St�phane Robert,#276,6,6,6,,,,3,3,3,,,
Open d�Australie messieurs,16/01/2017,1er tour,Karen Khachanov,#32,Adrian Mannarino,#31,6,3,7,6,,,4,6,6,3,,
Open d�Australie messieurs,16/01/2017,1er tour,Pierre-Hugues Herbert,#67,Jack Sock,#21,4,6,3,,,,6,7,6,,,
Open d�Australie messieurs,16/01/2017,1er tour,Bernard Tomic,#146,Thomaz Bellucci,#76,6,6,6,,,,2,1,4,,,
Open d�Australie messieurs,16/01/2017,1er tour,V�ctor Estrella,#79,Alja� Bedene,#49,7,7,0,6,,,6,5,6,3,,
Open d�Australie messieurs,16/01/2017,1er tour,Facundo Bagnis,#110,Daniel Evans,#106,6,3,1,,,,7,6,6,,,
Open d�Australie messieurs,16/01/2017,1er tour,Jerzy Janowicz,#145,Marin Cilic,#5,6,6,2,2,3,,4,4,6,6,6,
Open d�Australie messieurs,17/01/2017,1er tour,Ga�l Monfils,#36,Jir� Vesel�,#59,6,6,6,,,,2,3,2,,,
Open d�Australie messieurs,17/01/2017,1er tour,Alexandr Dolgopolov,#52,Borna Coric,#56,6,6,3,7,,,3,4,6,6,,
Open d�Australie messieurs,17/01/2017,1er tour,Thomas Fabbiano,#70,Donald Young,#60,4,6,4,,,,6,7,6,,,
Open d�Australie messieurs,17/01/2017,1er tour,Nikoloz Basilashvili,#64,Philipp Kohlschreiber,#34,4,6,6,4,,,6,3,7,6,,
Open d�Australie messieurs,17/01/2017,1er tour,Alexander Zverev,#4,Robin Haase,#39,6,3,5,6,6,,2,6,7,3,2,
Open d�Australie messieurs,17/01/2017,1er tour,Frances Tiafoe,#72,Mikhail Kukushkin,#78,6,6,6,6,,,1,7,3,2,,
Open d�Australie messieurs,17/01/2017,1er tour,Mikhail Youzhny,#112,Marcos Baghdatis,#122,3,0,,,,A,6,3,,,,
Open d�Australie messieurs,17/01/2017,1er tour,Florian Mayer,#63,Rafael Nadal,#1,3,4,4,,,,6,6,6,,,
Open d�Australie messieurs,17/01/2017,1er tour,Roberto Bautista,#13,Guido Pella,#71,6,6,6,,,,3,1,1,,,
Open d�Australie messieurs,17/01/2017,1er tour,Yoshihito Nishioka,#124,Alex Bolt,#292,6,1,6,6,,,4,6,2,4,,
Open d�Australie messieurs,17/01/2017,1er tour,Daniil Medvedev,#62,Ernesto Escobedo,#89,5,6,6,1,,,7,4,7,6,,
Open d�Australie messieurs,17/01/2017,1er tour,Omar Jasika,#250,David Ferrer,#26,3,0,2,,,,6,6,6,,,
Open d�Australie messieurs,17/01/2017,1er tour,Gilles Simon,#43,Michael Mmoh,#142,6,6,6,,,,1,3,3,,,
Open d�Australie messieurs,17/01/2017,1er tour,Jared Donaldson,#58,Rog�rio Dutra Silva,#73,6,6,1,4,4,,3,0,6,6,6,
Open d�Australie messieurs,17/01/2017,1er tour,Gilles Muller,#23,Taylor Fritz,#93,7,7,6,,,,6,6,3,,,
Open d�Australie messieurs,17/01/2017,1er tour,Dustin Brown,#123,Milos Raonic,#11,3,4,2,,,,6,6,6,,,
Open d�Australie messieurs,17/01/2017,1er tour,Dominic Thiem,#7,Jan-Lennard Struff,#54,4,6,6,6,,,6,4,4,3,,
Open d�Australie messieurs,17/01/2017,1er tour,Jordan Thompson,#69,Jo�o Sousa,#57,6,4,6,6,6,,7,6,3,2,1,
