ATP Brisbane	05/01/2015	1er tour	Roger Federer	3	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Brisbane	06/01/2015	1er tour	Rhyne Williams	10000	John Millman	92	3	1	x	x	x	x	6	6	x	x	x	x
ATP Brisbane	06/01/2015	1er tour	Denis Kudla	69	Jarkko Nieminen	153	6	1	4	x	x	x	4	6	6	x	x	x
ATP Brisbane	05/01/2015	1er tour	James Duckworth	120	Gilles Simon	15	6	6	x	x	x	x	2	2	x	x	x	x
ATP Brisbane	05/01/2015	1er tour	Grigor Dimitrov	28	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Brisbane	05/01/2015	1er tour	Jérémy Chardy	31	Andrey Golubev	206	6	6	x	x	x	x	4	4	x	x	x	x
ATP Brisbane	06/01/2015	1er tour	Martin Kližan	43	Jürgen Melzer	155	6	7	6	x	x	x	7	6	1	x	x	x
ATP Brisbane	06/01/2015	1er tour	Carlos Berlocq	111	Alexandr Dolgopolov	36	2	3	x	x	x	x	6	6	x	x	x	x
ATP Brisbane	06/01/2015	1er tour	Kevin Anderson	12	Lukasz Kubot	10000	6	4	x	x	x	x	7	6	x	x	x	x
ATP Brisbane	06/01/2015	1er tour	Sam Groth	60	Lleyton Hewitt	10000	6	6	x	x	x	x	3	2	x	x	x	x
ATP Brisbane	06/01/2015	1er tour	Marius Copil	165	Mikhail Kukushkin	65	4	6	4	x	x	x	6	4	6	x	x	x
ATP Brisbane	05/01/2015	1er tour	Milos Raonic	14	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Brisbane	05/01/2015	1er tour	Julien Benneteau	10000	Thanasi Kokkinakis	80	4	3	x	x	x	x	6	6	x	x	x	x
ATP Brisbane	05/01/2015	1er tour	Bernard Tomic	18	Sam Querrey	59	7	7	x	x	x	x	5	6	x	x	x	x
ATP Brisbane	06/01/2015	1er tour	Marinko Matosevic	296	Steve Johnson	32	6	6	5	x	x	x	2	7	7	x	x	x
ATP Brisbane	05/01/2015	1er tour	Kei Nishikori	8	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Brisbane	08/01/2015	2e tour	Roger Federer	3	John Millman	92	4	6	6	x	x	x	6	4	3	x	x	x
ATP Brisbane	08/01/2015	2e tour	Jarkko Nieminen	153	James Duckworth	120	6	6	3	x	x	x	4	7	6	x	x	x
ATP Brisbane	07/01/2015	2e tour	Grigor Dimitrov	28	Jérémy Chardy	31	3	6	7	x	x	x	6	4	6	x	x	x
ATP Brisbane	07/01/2015	2e tour	Martin Kližan	43	Alexandr Dolgopolov	36	1	7	7	x	x	x	6	6	6	x	x	x
ATP Brisbane	08/01/2015	2e tour	Lukasz Kubot	10000	Sam Groth	60	4	7	6	x	x	x	6	6	7	x	x	x
ATP Brisbane	08/01/2015	2e tour	Mikhail Kukushkin	65	Milos Raonic	14	3	4	x	x	x	x	6	6	x	x	x	x
ATP Brisbane	07/01/2015	2e tour	Thanasi Kokkinakis	80	Bernard Tomic	18	6	1	x	x	x	x	7	6	x	x	x	x
ATP Brisbane	07/01/2015	2e tour	Steve Johnson	32	Kei Nishikori	8	4	5	x	x	x	x	6	7	x	x	x	x
ATP Brisbane	09/01/2015	Quart de finale	Roger Federer	3	James Duckworth	120	6	6	x	x	x	x	0	1	x	x	x	x
ATP Brisbane	09/01/2015	Quart de finale	Grigor Dimitrov	28	Martin Kližan	43	6	6	x	x	x	x	3	4	x	x	x	x
ATP Brisbane	09/01/2015	Quart de finale	Sam Groth	60	Milos Raonic	14	6	6	6	x	x	x	7	3	7	x	x	x
ATP Brisbane	09/01/2015	Quart de finale	Bernard Tomic	18	Kei Nishikori	8	0	4	x	x	x	x	6	6	x	x	x	x
ATP Brisbane	10/01/2015	Demi-finale	Roger Federer	3	Grigor Dimitrov	28	6	6	x	x	x	x	2	2	x	x	x	x
ATP Brisbane	10/01/2015	Demi-finale	Milos Raonic	14	Kei Nishikori	8	6	7	7	x	x	x	7	6	6	x	x	x
ATP Brisbane	11/01/2015	Finale	Roger Federer	3	Milos Raonic	14	6	6	6	x	x	x	4	7	4	x	x	x
ATP Chennai	05/01/2015	1er tour	Stan Wawrinka	4	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Chennai	05/01/2015	1er tour	Borna Coric	44	Robin Haase	66	6	6	x	x	x	x	2	2	x	x	x	x
ATP Chennai	06/01/2015	1er tour	Elias Ymer	136	Igor Sijsling	145	6	4	6	x	x	x	4	6	3	x	x	x
ATP Chennai	05/01/2015	1er tour	Edouard Roger-Vasselin	123	Gilles Muller	38	7	1	6	x	x	x	6	6	7	x	x	x
ATP Chennai	05/01/2015	1er tour	David Goffin	16	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Chennai	06/01/2015	1er tour	Ricardas Berankis	85	Luca Vanni	106	6	2	7	x	x	x	1	6	5	x	x	x
ATP Chennai	06/01/2015	1er tour	Vijay Sundar Prashanth	10000	Jirí Veselý	41	2	1	x	x	x	x	6	6	x	x	x	x
ATP Chennai	05/01/2015	1er tour	Andreas Haider-Maurer	63	Marcel Granollers	84	3	7	2	x	x	x	6	6	0	x	x	A
ATP Chennai	06/01/2015	1er tour	Yen-Hsun Lu	77	Somdev Devvarman	177	6	6	x	x	x	x	3	4	x	x	x	x
ATP Chennai	06/01/2015	1er tour	Pablo Carreño	67	Alejandro González	141	6	6	x	x	x	x	1	3	x	x	x	x
ATP Chennai	06/01/2015	1er tour	Peter Gojowczyk	194	Alejandro Falla	122	6	6	x	x	x	x	0	1	x	x	x	x
ATP Chennai	05/01/2015	1er tour	Roberto Bautista	25	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Chennai	06/01/2015	1er tour	Guillermo García-López	27	Evgeny Donskoy	91	6	6	6	x	x	x	7	2	3	x	x	x
ATP Chennai	06/01/2015	1er tour	Ramkumar Ramanathan	248	Tatsuma Ito	119	3	3	x	x	x	x	6	6	x	x	x	x
ATP Chennai	06/01/2015	1er tour	Lukáš Lacko	110	Aljaž Bedene	45	6	3	x	x	x	x	7	6	x	x	x	x
ATP Chennai	05/01/2015	1er tour	Feliciano López	17	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Chennai	07/01/2015	2e tour	Stan Wawrinka	4	Borna Coric	44	6	6	x	x	x	x	1	4	x	x	x	x
ATP Chennai	07/01/2015	2e tour	Elias Ymer	136	Gilles Muller	38	4	3	x	x	x	x	6	6	x	x	x	x
ATP Chennai	07/01/2015	2e tour	David Goffin	16	Ricardas Berankis	85	6	4	7	x	x	x	0	6	6	x	x	x
ATP Chennai	07/01/2015	2e tour	Jirí Veselý	41	Andreas Haider-Maurer	63	7	4	4	x	x	x	6	6	6	x	x	x
ATP Chennai	08/01/2015	2e tour	Yen-Hsun Lu	77	Pablo Carreño	67	6	6	x	x	x	x	4	4	x	x	x	x
ATP Chennai	08/01/2015	2e tour	Peter Gojowczyk	194	Roberto Bautista	25	3	2	x	x	x	x	6	6	x	x	x	x
ATP Chennai	08/01/2015	2e tour	Guillermo García-López	27	Tatsuma Ito	119	6	6	6	x	x	x	7	2	0	x	x	x
ATP Chennai	08/01/2015	2e tour	Aljaž Bedene	45	Feliciano López	17	6	6	x	x	x	x	4	4	x	x	x	x
ATP Chennai	09/01/2015	Quart de finale	Stan Wawrinka	4	Gilles Muller	38	6	7	x	x	x	x	2	6	x	x	x	x
ATP Chennai	09/01/2015	Quart de finale	David Goffin	16	Andreas Haider-Maurer	63	7	6	x	x	x	x	5	2	x	x	x	x
ATP Chennai	09/01/2015	Quart de finale	Yen-Hsun Lu	77	Roberto Bautista	25	6	4	x	x	x	x	7	6	x	x	x	x
ATP Chennai	09/01/2015	Quart de finale	Guillermo García-López	27	Aljaž Bedene	45	6	3	2	x	x	x	2	6	6	x	x	x
ATP Chennai	10/01/2015	Demi-finale	Stan Wawrinka	4	David Goffin	16	7	6	x	x	x	x	5	3	x	x	x	x
ATP Chennai	10/01/2015	Demi-finale	Roberto Bautista	25	Aljaž Bedene	45	6	3	6	x	x	x	3	6	7	x	x	x
ATP Chennai	11/01/2015	Finale	Stan Wawrinka	4	Aljaž Bedene	45	6	6	x	x	x	x	3	4	x	x	x	x
ATP Doha	06/01/2015	1er tour	Novak Djokovic	1	Dušan Lajovic	76	6	6	x	x	x	x	2	1	x	x	x	x
ATP Doha	06/01/2015	1er tour	Sergiy Stakhovsky	62	Jabor Al Mutawa	10000	6	6	x	x	x	x	1	1	x	x	x	x
ATP Doha	06/01/2015	1er tour	Mikhail Youzhny	127	Nikoloz Basilashvili	113	5	2	x	x	x	x	7	6	x	x	x	x
ATP Doha	05/01/2015	1er tour	Lukáš Rosol	55	Ivo Karlovic	23	6	3	x	x	x	x	7	6	x	x	x	x
ATP Doha	06/01/2015	1er tour	David Ferrer	7	Thiemo de Bakker	99	6	6	6	x	x	x	7	4	3	x	x	x
ATP Doha	05/01/2015	1er tour	Teymuraz Gabashvili	50	Fernando Verdasco	49	6	3	6	x	x	x	4	6	7	x	x	x
ATP Doha	05/01/2015	1er tour	Dustin Brown	118	Paolo Lorenzi	68	7	6	x	x	x	x	6	3	x	x	x	x
ATP Doha	06/01/2015	1er tour	Jan-Lennard Struff	107	Philipp Kohlschreiber	34	7	4	6	x	x	x	6	6	1	x	x	x
ATP Doha	05/01/2015	1er tour	Richard Gasquet	9	Pablo Andújar	64	6	7	x	x	x	x	3	5	x	x	x	x
ATP Doha	05/01/2015	1er tour	Simone Bolelli	58	Benjamin Becker	97	6	7	x	x	x	x	3	6	x	x	x	x
ATP Doha	06/01/2015	1er tour	Juan Mónaco	53	Blaž Kavcic	151	6	4	x	x	x	x	7	6	x	x	x	x
ATP Doha	06/01/2015	1er tour	Denis Istomin	61	Tomáš Berdych	6	1	4	x	x	x	x	6	6	x	x	x	x
